建檔日期	客戶名稱	業務	產業別	產品	數量	單價	合計
2013/1/29	X翔倉儲	玉文	服務業	百合花	68	90	6120
2013/3/3	X來水處	玉文	政府機關	玫瑰花	30	180	5400
2013/2/15	網XX技	梓翔	資訊業	鬱金香	22	235	5170
2013/1/31	XX資安	梓翔	資訊業	康乃馨	100	50	5000
2013/11/8	X陽工業	梓翔	服務業	杜鵑花	19	40	760
2013/6/12	X市X生局	梓翔	政府機關	百合花	42	90	3780
2013/3/24	茂X	瑤瑤	製造業	百合花	49	90	4410
2013/6/7	中X探採	怡文	製造業	玫瑰花	100	180	18000
2013/12/24	X特汽車	瑤瑤	製造業	百合花	54	90	4860
2013/3/2	X財產局	瑤瑤	政府機關	鬱金香	31	235	7285
2013/9/29	X半導體	宏澤	製造業	杜鵑花	3	40	120
2013/2/12	合X	惠民	製造業	杜鵑花	12	40	480
2013/12/22	聯XX)	宏澤	製造業	玫瑰花	39	180	7020
2013/5/8	X山企業	宏澤	製造業	玫瑰花	87	180	15660
2013/9/23	太X欣榮	玉文	製造業	鬱金香	17	235	3995
2013/4/8	南X樹脂	惠民	製造業	百合花	57	90	5130
2013/12/19	XX	惠民	製造業	玫瑰花	47	180	8460
2013/5/1	X麗X技	惠民	製造業	鬱金香	82	235	19270
2013/1/20	X豐	玉文	製造業	杜鵑花	5	40	200
2013/12/18	大X酒店	梓翔	服務業	杜鵑花	25	40	1000
2013/7/14	宏X集團	瑤瑤	製造業	百合花	45	90	4050
2013/2/14	X市政府	宏澤	政府機關	百合花	10	90	900
2013/4/24	X銀行	玉文	金融業	玫瑰花	27	180	4860
2013/1/20	友X投X	宏澤	金融業	百合花	35	90	3150
2013/3/18	XXX	宏澤	製造業	鬱金香	88	235	20680
2013/9/17	捷X商訊	怡文	資訊業	康乃馨	16	50	800
2013/12/30	大州X服務	梓翔	資訊業	杜鵑花	97	40	3880
2013/4/21	網XX技	玉文	資訊業	玫瑰花	38	180	6840
2013/2/6	XX	怡文	資訊業	玫瑰花	63	180	11340
2013/2/26	X視X技	瑤瑤	資訊業	鬱金香	70	235	16450
2013/4/11	X石X化學	宏澤	製造業	百合花	61	90	5490
2013/10/24	環X產物	怡文	製造業	玫瑰花	95	180	17100
2013/8/22	環X產物	玉文	金融業	鬱金香	85	235	19975
2013/10/31	XX壽	惠民	金融業	康乃馨	56	50	2800
2013/3/9	X紡	惠民	資訊業	百合花	33	90	2970
2013/1/30	仁X集團	玉文	製造業	百合花	30	90	2700
2013/2/18	X商銀	宏澤	金融業	鬱金香	17	235	3995
2013/1/1	台北銀行	惠民	金融業	康乃馨	30	50	1500
2013/1/13	X銀行	梓翔	金融業	杜鵑花	55	40	2200
2013/3/27	台X銀行	玉文	金融業	玫瑰花	99	180	17820
2013/11/7	X銀行	瑤瑤	金融業	玫瑰花	14	180	2520
2013/10/8	XX商銀	玉文	金融業	鬱金香	47	235	11045
2013/5/4	XX銀行	梓翔	金融業	百合花	58	90	5220
2013/11/22	萬X銀行	怡文	金融業	玫瑰花	23	180	4140
2013/5/6	土銀	宏澤	金融業	鬱金香	53	235	12455
2013/3/18	中X銀	惠民	金融業	鬱金香	29	235	6815
2013/12/5	誠X銀	惠民	金融業	百合花	86	90	7740
2013/5/8	X銀行	怡文	金融業	百合花	41	90	3690
2013/7/21	X工銀	梓翔	金融業	百合花	34	90	3060
2013/10/26	合X	瑤瑤	金融業	玫瑰花	15	180	2700
2013/4/6	X銀	怡文	金融業	百合花	42	90	3780
2013/4/20	X銀行	玉文	金融業	鬱金香	43	235	10105
2013/10/22	X海銀行	梓翔	金融業	鬱金香	68	235	15980
2013/6/17	大X證	瑤瑤	金融業	百合花	5	90	450
2013/3/8	X東證	玉文	金融業	玫瑰花	20	180	3600
2013/9/18	元x證	怡文	金融業	玫瑰花	45	180	8100
2013/2/15	中X銀證	宏澤	金融業	鬱金香	77	235	18095
2013/4/18	金XX銀證	玉文	金融業	百合花	20	90	1800
2013/6/10	XX投X	玉文	金融業	玫瑰花	41	180	7380
2013/2/1	X票券	宏澤	金融業	鬱金香	98	235	23030
2013/5/30	X島銀行	梓翔	金融業	鬱金香	58	235	13630
2013/6/8	X山銀行	怡文	金融業	百合花	14	90	1260
2013/6/2	X管中心	玉文	金融業	百合花	5	90	450
2013/2/21	金X證券	怡文	金融業	百合花	35	90	3150
2013/1/12	XX期	怡文	金融業	玫瑰花	10	180	1800
2013/2/12	XX民黨	惠民	政府機關	百合花	78	90	7020
2013/8/7	X籌備處	梓翔	政府機關	鬱金香	42	235	9870
2013/12/1	XX子中心	惠民	政府機關	鬱金香	42	235	9870
2013/1/25	X銀	惠民	金融業	百合花	83	90	7470
2013/5/17	XX壽	惠民	金融業	玫瑰花	68	180	12240
2013/3/14	XX視公司	瑤瑤	政府機關	玫瑰花	2	180	360
2013/5/25	X豐銀行	玉文	金融業	鬱金香	39	235	9165
2013/3/17	XXX研究所	惠民	政府機關	百合花	66	90	5940
2013/5/16	xX證券	瑤瑤	金融業	玫瑰花	75	180	13500
2013/2/27	X島銀行	惠民	金融業	鬱金香	10	235	2350
2013/4/25	X迅X技	梓翔	資訊業	鬱金香	79	235	18565
2013/10/24	XXX腦	惠民	資訊業	百合花	81	90	7290
2013/5/25	X物流	玉文	服務業	百合花	81	90	7290
2013/11/21	凌群X腦	瑤瑤	資訊業	玫瑰花	79	180	14220
2013/11/18	APOL	惠民	服務業	百合花	31	90	2790
2013/4/23	XXX腦	瑤瑤	資訊業	鬱金香	71	235	16685
2013/3/4	優易X技	惠民	資訊業	鬱金香	90	235	21150
2013/3/28	XXX公司	梓翔	政府機關	百合花	58	90	5220
2013/11/23	X鋒-資訊安全顧問公司ISS	瑤瑤	服務業	玫瑰花	55	180	9900
2013/1/25	竹凡	怡文	資訊業	鬱金香	41	235	9635
2013/1/24	X鋒	瑤瑤	資訊業	玫瑰花	73	180	13140
2013/11/5	X廣	惠民	政府機關	仙人掌	5	60	300
2013/2/14	安X	宏澤	資訊業	百合花	35	90	3150
2013/6/14	X眾	梓翔	資訊業	百合花	57	90	5130
2013/1/18	X里醫院	宏澤	政府機關	玫瑰花	95	180	17100
2013/8/10	水X醫院	玉文	政府機關	百合花	59	90	5310
2013/1/16	X銀行	惠民	資訊業	鬱金香	55	235	12925
2013/11/2	X時X銀行	宏澤	資訊業	鬱金香	12	235	2820
2013/12/13	X導資訊	玉文	製造業	百合花	96	90	8640
2013/11/3	X鵬工業	瑤瑤	製造業	玫瑰花	48	180	8640
2013/12/1	X委會	怡文	政府機關	鬱金香	50	235	11750
2013/5/24	X會	怡文	政府機關	玫瑰花	93	180	16740
2013/11/30	X事局	怡文	政府機關	鬱金香	46	235	10810
2013/7/16	X法院	玉文	政府機關	鬱金香	98	235	23030
2013/4/17	萌欣X	宏澤	資訊業	百合花	16	90	1440
2013/12/19	X局	宏澤	政府機關	百合花	72	90	6480
2013/4/18	艾XX	玉文	資訊業	百合花	66	90	5940
2013/7/24	X藥廠	惠民	製造業	玫瑰花	12	180	2160
2013/12/14	英X生	瑤瑤	製造業	百合花	30	90	2700
2013/4/25	X島銀行	惠民	金融業	鬱金香	21	235	4935
2013/12/27	三X企業	怡文	製造業	鬱金香	51	235	11985
2013/12/3	X加X傳X腦	惠民	資訊業	百合花	88	90	7920
2013/7/12	XX廣告	瑤瑤	服務業	玫瑰花	37	180	6660
2013/2/3	台X消X局	梓翔	政府機關	玫瑰花	94	180	16920
2013/2/3	X心理系	瑤瑤	學校	鬱金香	76	235	17860
2013/10/5	XX企業	惠民	製造業	百合花	84	90	7560
2013/9/20	X技術	玉文	學校	玫瑰花	14	180	2520
2013/12/14	英XX	瑤瑤	資訊業	鬱金香	71	235	16685
2013/8/26	X分生所	瑤瑤	政府機關	鬱金香	28	235	6580
2013/10/20	XX台	怡文	政府機關	百合花	22	90	1980
2013/8/10	X大學	玉文	學校	百合花	8	90	720
2013/1/13	XX大學	宏澤	學校	百合花	100	90	9000
2013/9/30	XXX北區網管處	惠民	政府機關	玫瑰花	20	180	3600
2013/7/26	群策X子	惠民	製造業	百合花	26	90	2340
2013/11/17	XX銀行	宏澤	金融業	鬱金香	81	235	19035
2013/6/20	X訊X子資訊學校	梓翔	學校	鬱金香	18	235	4230
2013/10/31	XXX研究所	怡文	政府機關	百合花	76	90	6840
2013/8/12	X技術	宏澤	學校	玫瑰花	55	180	9900
2013/8/25	X縣政府	玉文	政府機關	玫瑰花	69	180	12420
2013/12/15	中X院	玉文	政府機關	鬱金香	30	235	7050
2013/3/20	中X院	瑤瑤	政府機關	百合花	15	90	1350
2013/2/21	台X材	梓翔	製造業	玫瑰花	36	180	6480
2013/12/20	台X	怡文	製造業	鬱金香	88	235	20680
2013/12/27	南XX路	梓翔	製造業	鬱金香	39	235	9165
2013/5/25	台X政府X局	瑤瑤	政府機關	百合花	5	90	450
2013/10/4	中XX子	怡文	製造業	百合花	15	90	1350
2013/7/1	仁XX腦	惠民	資訊業	百合花	30	90	2700
2013/2/14	X多媒體	玉文	服務業	玫瑰花	23	180	4140
2013/7/25	XXX腦	梓翔	資訊業	百合花	23	90	2070
2013/11/4	XXX研究所	怡文	政府機關	鬱金香	83	235	19505
2013/4/6	X銀行	梓翔	金融業	鬱金香	57	235	13395
2013/6/2	廣XX腦	怡文	金融業	百合花	43	90	3870
2013/7/5	XX管理	惠民	學校	鬱金香	61	235	14335
2013/2/8	元X大學資訊	惠民	學校	鬱金香	37	235	8695
2013/8/11	松x資訊X	宏澤	學校	百合花	37	90	3330
2013/11/19	萬X銀行	梓翔	金融業	百合花	28	90	2520
2013/12/4	大XX子	玉文	金融業	百合花	98	90	8820
2013/2/8	X總醫院	怡文	政府機關	玫瑰花	56	180	10080
2013/6/19	XX專X學校	梓翔	學校	百合花	10	90	900
2013/8/14	x大學	瑤瑤	學校	鬱金香	81	235	19035
2013/5/28	x林資訊	瑤瑤	金融業	鬱金香	30	235	7050
2013/1/4	xX證券	怡文	金融業	百合花	73	90	6570
2013/12/26	賽X基因	瑤瑤	金融業	百合花	48	90	4320
2013/7/4	X書院	惠民	學校	百合花	6	90	540
2013/1/18	X戰部	玉文	政府機關	玫瑰花	84	180	15120
2013/1/4	X東航空	宏澤	服務業	百合花	84	90	7560
2013/11/20	XX部	梓翔	政府機關	鬱金香	11	235	2585
2013/5/30	幸XX壽	怡文	金融業	鬱金香	5	235	1175
2013/1/6	XX紀資X	玉文	資訊業	玫瑰花	14	180	2520
2013/5/20	XX用卡中心	怡文	金融業	鬱金香	19	235	4465
2013/1/29	美商安X樂	宏澤	服務業	百合花	68	90	6120
2013/1/15	台X局	梓翔	政府機關	玫瑰花	76	180	13680
2013/1/15	XX系統	瑤瑤	製造業	鬱金香	89	235	20915
2013/2/20	凱X共關係	宏澤	服務業	鬱金香	16	235	3760
2013/6/27	XXXX	梓翔	資訊業	百合花	100	90	9000
2013/6/12	歐X	玉文	服務業	百合花	87	90	7830
2013/12/11	X會	瑤瑤	政府機關	百合花	24	90	2160
2013/1/6	東XX技	怡文	資訊業	鬱金香	94	235	22090
2013/4/15	X原X技	梓翔	資訊業	鬱金香	72	235	16920
2013/1/31	X大學	瑤瑤	學校	百合花	15	90	1350
2013/4/13	X東工專	玉文	學校	百合花	64	90	5760
2013/2/1	X技術	梓翔	學校	百合花	85	90	7650
2013/1/14	XXX商業銀行	怡文	金融業	玫瑰花	70	180	12600
2013/9/27	海X	瑤瑤	政府機關	百合花	71	90	6390
2013/4/28	X水X	梓翔	政府機關	鬱金香	27	235	6345
2013/5/12	XXX小	瑤瑤	學校	鬱金香	99	235	23265
2013/3/13	X關稅局	瑤瑤	政府機關	百合花	14	90	1260
2013/2/3	XX銀行	怡文	金融業	玫瑰花	36	180	6480
2013/3/2	XX銀行	梓翔	金融業	玫瑰花	9	180	1620
2013/4/25	XXX壽	怡文	金融業	鬱金香	10	235	2350
2013/7/21	XX部	惠民	資訊業	百合花	50	90	4500
2013/2/21	金X證券	宏澤	金融業	玫瑰花	52	180	9360
2013/1/20	金X證券	宏澤	金融業	鬱金香	3	235	705
2013/12/9	X山企業	玉文	資訊業	康乃馨	69	50	3450
2013/2/13	XX資安	瑤瑤	資訊業	杜鵑花	43	40	1720
2013/3/31	XX資訊	玉文	資訊業	百合花	75	90	6750
2013/11/10	X聯X	怡文	資訊業	百合花	56	90	5040
2013/11/7	X博物院	玉文	政府機關	玫瑰花	95	180	17100
2013/4/14	XXX技	宏澤	金融業	百合花	59	90	5310
2013/5/9	XX部	怡文	政府機關	鬱金香	26	235	6110
2013/1/22	X記洋行	宏澤	服務業	杜鵑花	75	40	3000
2013/4/3	XX麗X	玉文	製造業	杜鵑花	60	40	2400
2013/3/17	X泛X	梓翔	服務業	玫瑰花	51	180	9180
2013/9/3	X客多	宏澤	服務業	玫瑰花	14	180	2520
2013/7/17	和X超媒體	宏澤	服務業	鬱金香	83	235	19505
2013/5/2	X翔倉儲	玉文	服務業	百合花	34	90	3060
2013/9/20	X來水處	玉文	政府機關	玫瑰花	76	180	13680
2013/7/15	網XX技	梓翔	資訊業	鬱金香	46	235	10810
2013/1/30	XX資安	梓翔	資訊業	康乃馨	84	50	4200
2013/1/22	X陽工業	梓翔	服務業	杜鵑花	76	40	3040
2013/2/12	X市X生局	梓翔	政府機關	百合花	64	90	5760
2013/3/27	茂X	瑤瑤	製造業	百合花	95	90	8550
2013/2/17	中X探採	怡文	製造業	玫瑰花	86	180	15480
2013/2/24	X特汽車	瑤瑤	製造業	百合花	94	90	8460
2013/7/13	X財產局	瑤瑤	政府機關	鬱金香	60	235	14100
2013/1/27	X半導體	宏澤	製造業	杜鵑花	77	40	3080
